date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:48:52	69/69	---MCZ	200	added ('OK')	text/css	etag:W/%225a102efe-45%22	https://getbootstrapadmin.com/remark/global/vendor/datatables.net-rowgroup-bs4/dataTables.rowgroup.bootstrap4.min.css?v4.0.2	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/global/vendor/datatables.net-rowgroup-bs4/dataTables.rowgroup.bootstrap4.min599c.css	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:48:54	588/588	---MCZ	200	added ('OK')	text/css	etag:W/%225a102efe-24c%22	https://getbootstrapadmin.com/remark/global/vendor/datatables.net-scroller-bs4/dataTables.scroller.bootstrap4.min.css?v4.0.2	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/global/vendor/datatables.net-scroller-bs4/dataTables.scroller.bootstrap4.min599c.css	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:48:55	4203/4203	---MCZ	200	added ('OK')	text/css	etag:W/%225a102efe-106b%22	https://getbootstrapadmin.com/remark/global/vendor/datatables.net-select-bs4/dataTables.select.bootstrap4.min.css?v4.0.2	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/global/vendor/datatables.net-select-bs4/dataTables.select.bootstrap4.min599c.css	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:48:57	4085/4085	---MCZ	200	added ('OK')	text/css	etag:W/%225a102efe-ff5%22	https://getbootstrapadmin.com/remark/global/vendor/datatables.net-responsive-bs4/dataTables.responsive.bootstrap4.min.css?v4.0.2	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/global/vendor/datatables.net-responsive-bs4/dataTables.responsive.bootstrap4.min599c.css	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:48:58	3881/3881	---MCZ	200	added ('OK')	text/css	etag:W/%225a102efe-f29%22	https://getbootstrapadmin.com/remark/global/vendor/datatables.net-buttons-bs4/dataTables.buttons.bootstrap4.min.css?v4.0.2	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/global/vendor/datatables.net-buttons-bs4/dataTables.buttons.bootstrap4.min599c.css	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:49:00	502/502	---MCZ	200	added ('OK')	text/css	etag:W/%225a102efc-1f6%22	https://getbootstrapadmin.com/remark/base/assets/examples/css/tables/datatable.min.css?v4.0.2	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/base/assets/examples/css/tables/datatable.min599c.css	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:49:01	6528/6528	---MCZ	200	added ('OK')	text/css	etag:W/%225a102efd-1980%22	https://getbootstrapadmin.com/remark/global/fonts/web-icons/web-icons.min.css?v4.0.2	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/global/fonts/web-icons/web-icons.min599c.css	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:49:02	2629/2629	---MCZ	200	added ('OK')	text/css	etag:W/%225a102efd-a45%22	https://getbootstrapadmin.com/remark/global/fonts/brand-icons/brand-icons.min.css?v4.0.2	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/global/fonts/brand-icons/brand-icons.min599c.css	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:49:02	28401/28401	---MCZ	200	added ('OK')	text/css	etag:W/%225a102efd-6ef1%22	https://getbootstrapadmin.com/remark/global/fonts/font-awesome/font-awesome.min.css?v4.0.2	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/global/fonts/font-awesome/font-awesome.min599c.css	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:49:03	7571/7571	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a102efe-1d93%22	https://getbootstrapadmin.com/remark/global/vendor/breakpoints/breakpoints.min.js?v4.0.2	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/global/vendor/breakpoints/breakpoints.min599c.js	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
